id,code,incident_id,incident_code,technicien_id,technicien_nom,technicien_matricule,secteur_id,secteur_nom,severite,statut,date_creation,date_assignation,date_resolution,duree_intervention_min,distance_km,note_intervention,statut_terrain,date_arrivee_site,date_debut_intervention,date_fin_intervention,pause_prise,pause_debut_terrain,pause_fin_terrain,cause_incomplete,contraintes,updated_by,historique_statuts
12,TKT-00012,13,INC-202605-0013,30,Yasmine JADID,TECH-030,7,Meknès,MAJEUR,FERME,2026-05-01T21:21:32.754412,2026-05-01T21:29:32.754412,2026-05-01T22:15:32.754412,80,7.95,2.9,COMPLETE,2026-05-01T21:47:32.754412,2026-05-01T22:02:32.754412,2026-05-01T23:22:32.754412,False,,,,[],ADMIN,"[{""statut"": ""ASSIGNE"", ""timestamp"": ""2026-05-01T21:21:32.754412""}, {""statut"": ""EN_ROUTE"", ""timestamp"": ""2026-05-01T21:29:32.754412""}, {""statut"": ""SUR_SITE"", ""timestamp"": ""2026-05-01T21:47:32.754412""}, {""statut"": ""EN_COURS"", ""timestamp"": ""2026-05-01T22:02:32.754412""}, {""statut"": ""COMPLETE"", ""timestamp"": ""2026-05-01T23:22:32.754412""}]"
13,TKT-00013,14,INC-202512-0014,9,Karim BENSOUDA,TECH-009,10,Tétouan,MAJEUR,EN_COURS,2025-12-27T04:06:07.754412,2025-12-27T04:14:07.754412,,,12.84,,PAUSE,2025-12-27T04:54:07.754412,2025-12-27T05:08:07.754412,,True,13:00,14:00,,"[""Intervention nocturne requise"", ""Zone a acces restreint""]",TECHNICIEN,"[{""statut"": ""ASSIGNE"", ""timestamp"": ""2025-12-27T04:06:07.754412""}, {""statut"": ""EN_ROUTE"", ""timestamp"": ""2025-12-27T04:14:07.754412""}, {""statut"": ""SUR_SITE"", ""timestamp"": ""2025-12-27T04:54:07.754412""}, {""statut"": ""EN_COURS"", ""timestamp"": ""2025-12-27T05:08:07.754412""}, {""statut"": ""PAUSE"", ""timestamp"": ""2025-12-27T07:08:07.754412""}, {""statut"": ""EN_COURS"", ""timestamp"": ""2025-12-27T08:08:07.754412""}]"
14,TKT-00014,15,INC-202601-0015,5,Hamza BENKIRANE,TECH-005,2,Rabat-Salé,MINEUR,RESOLU,2026-01-07T00:03:53.754412,2026-01-07T00:18:53.754412,2026-01-07T00:52:53.754412,76,23.18,4.1,COMPLETE,2026-01-07T01:02:53.754412,2026-01-07T01:16:53.754412,2026-01-07T02:32:53.754412,False,,,,[],ADMIN,"[{""statut"": ""ASSIGNE"", ""timestamp"": ""2026-01-07T00:03:53.754412""}, {""statut"": ""EN_ROUTE"", ""timestamp"": ""2026-01-07T00:18:53.754412""}, {""statut"": ""SUR_SITE"", ""timestamp"": ""2026-01-07T01:02:53.754412""}, {""statut"": ""EN_COURS"", ""timestamp"": ""2026-01-07T01:16:53.754412""}, {""statut"": ""COMPLETE"", ""timestamp"": ""2026-01-07T02:32:53.754412""}]"
15,TKT-00015,16,INC-202605-0016,8,Nadia FILALI,TECH-008,6,Agadir,CRITIQUE,FERME,2026-05-14T16:56:47.754412,2026-05-14T17:06:47.754412,2026-05-15T01:13:47.754412,522,13.2,2.5,COMPLETE,2026-05-14T17:18:47.754412,2026-05-14T17:32:47.754412,2026-05-15T02:14:47.754412,True,13:00,14:00,,"[""Intervention nocturne requise""]",ADMIN,"[{""statut"": ""ASSIGNE"", ""timestamp"": ""2026-05-14T16:56:47.754412""}, {""statut"": ""EN_ROUTE"", ""timestamp"": ""2026-05-14T17:06:47.754412""}, {""statut"": ""SUR_SITE"", ""timestamp"": ""2026-05-14T17:18:47.754412""}, {""statut"": ""EN_COURS"", ""timestamp"": ""2026-05-14T17:32:47.754412""}, {""statut"": ""PAUSE"", ""timestamp"": ""2026-05-14T19:32:47.754412""}, {""statut"": ""EN_COURS"", ""timestamp"": ""2026-05-14T20:32:47.754412""}, {""statut"": ""COMPLETE"", ""timestamp"": ""2026-05-15T02:14:47.754412""}]"
16,TKT-00016,18,INC-202603-0018,11,Mehdi MOUSSAOUI,TECH-011,1,Grand Casablanca,CRITIQUE,RESOLU,2026-03-03T03:46:40.754412,2026-03-03T03:58:40.754412,2026-03-03T06:04:40.754412,159,12.04,4.4,COMPLETE,2026-03-03T04:41:40.754412,2026-03-03T04:54:40.754412,2026-03-03T07:33:40.754412,True,13:00,14:00,,"[""Coordination avec equipe reseau requise""]",TECHNICIEN,"[{""statut"": ""ASSIGNE"", ""timestamp"": ""2026-03-03T03:46:40.754412""}, {""statut"": ""EN_ROUTE"", ""timestamp"": ""2026-03-03T03:58:40.754412""}, {""statut"": ""SUR_SITE"", ""timestamp"": ""2026-03-03T04:41:40.754412""}, {""statut"": ""EN_COURS"", ""timestamp"": ""2026-03-03T04:54:40.754412""}, {""statut"": ""PAUSE"", ""timestamp"": ""2026-03-03T06:54:40.754412""}, {""statut"": ""EN_COURS"", ""timestamp"": ""2026-03-03T07:54:40.754412""}, {""statut"": ""COMPLETE"", ""timestamp"": ""2026-03-03T07:33:40.754412""}]"
17,TKT-00017,19,INC-202603-0019,23,Adil REGRAGUI,TECH-023,9,Kenitra,MINEUR,FERME,2026-03-25T05:08:14.754412,2026-03-25T05:16:14.754412,2026-03-25T06:14:14.754412,71,3.92,4.9,COMPLETE,2026-03-25T05:32:14.754412,2026-03-25T05:41:14.754412,2026-03-25T06:52:14.754412,False,,,,[],TECHNICIEN,"[{""statut"": ""ASSIGNE"", ""timestamp"": ""2026-03-25T05:08:14.754412""}, {""statut"": ""EN_ROUTE"", ""timestamp"": ""2026-03-25T05:16:14.754412""}, {""statut"": ""SUR_SITE"", ""timestamp"": ""2026-03-25T05:32:14.754412""}, {""statut"": ""EN_COURS"", ""timestamp"": ""2026-03-25T05:41:14.754412""}, {""statut"": ""COMPLETE"", ""timestamp"": ""2026-03-25T06:52:14.754412""}]"
18,TKT-00018,20,INC-202602-0020,14,Salma BENOMAR,TECH-014,6,Agadir,CRITIQUE,EN_COURS,2026-02-20T12:38:18.754412,2026-02-20T12:44:18.754412,,,13.43,,PAUSE,2026-02-20T13:23:18.754412,2026-02-20T13:31:18.754412,,False,,,,"[""Acces difficile (hauteur / espace confine)""]",ADMIN,"[{""statut"": ""ASSIGNE"", ""timestamp"": ""2026-02-20T12:38:18.754412""}, {""statut"": ""EN_ROUTE"", ""timestamp"": ""2026-02-20T12:44:18.754412""}, {""statut"": ""SUR_SITE"", ""timestamp"": ""2026-02-20T13:23:18.754412""}, {""statut"": ""EN_COURS"", ""timestamp"": ""2026-02-20T13:31:18.754412""}]"
19,TKT-00019,21,INC-202604-0021,25,Ilyas IDRISSI,TECH-025,10,Tétouan,MINEUR,EN_COURS,2026-04-02T21:36:25.754412,2026-04-02T21:41:25.754412,,,24.1,,EN_ROUTE,2026-04-02T21:53:25.754412,2026-04-02T21:59:25.754412,,False,,,,"[""Acces difficile (hauteur / espace confine)"", ""Zone a acces restreint""]",TECHNICIEN,"[{""statut"": ""ASSIGNE"", ""timestamp"": ""2026-04-02T21:36:25.754412""}, {""statut"": ""EN_ROUTE"", ""timestamp"": ""2026-04-02T21:41:25.754412""}, {""statut"": ""SUR_SITE"", ""timestamp"": ""2026-04-02T21:53:25.754412""}, {""statut"": ""EN_COURS"", ""timestamp"": ""2026-04-02T21:59:25.754412""}]"
20,TKT-00020,23,INC-202602-0023,22,Kawtar CHERKAOUI,TECH-022,3,Marrakech,CRITIQUE,FERME,2026-02-19T15:12:57.754412,2026-02-19T15:21:57.754412,2026-02-19T22:30:57.754412,448,24.03,4.1,COMPLETE,2026-02-19T15:41:57.754412,2026-02-19T15:51:57.754412,2026-02-19T23:19:57.754412,True,13:00,14:00,,"[""Manque d outillage specifique""]",TECHNICIEN,"[{""statut"": ""ASSIGNE"", ""timestamp"": ""2026-02-19T15:12:57.754412""}, {""statut"": ""EN_ROUTE"", ""timestamp"": ""2026-02-19T15:21:57.754412""}, {""statut"": ""SUR_SITE"", ""timestamp"": ""2026-02-19T15:41:57.754412""}, {""statut"": ""EN_COURS"", ""timestamp"": ""2026-02-19T15:51:57.754412""}, {""statut"": ""PAUSE"", ""timestamp"": ""2026-02-19T17:51:57.754412""}, {""statut"": ""EN_COURS"", ""timestamp"": ""2026-02-19T18:51:57.754412""}, {""statut"": ""COMPLETE"", ""timestamp"": ""2026-02-19T23:19:57.754412""}]"
21,TKT-00021,24,INC-202604-0024,11,Mehdi MOUSSAOUI,TECH-011,1,Grand Casablanca,CRITIQUE,FERME,2026-04-27T16:48:12.754412,2026-04-27T16:49:12.754412,2026-04-27T23:24:12.754412,413,21.29,3.0,COMPLETE,2026-04-27T17:11:12.754412,2026-04-27T17:23:12.754412,2026-04-28T00:16:12.754412,True,13:00,14:00,,"[""Acces difficile (hauteur / espace confine)""]",TECHNICIEN,"[{""statut"": ""ASSIGNE"", ""timestamp"": ""2026-04-27T16:48:12.754412""}, {""statut"": ""EN_ROUTE"", ""timestamp"": ""2026-04-27T16:49:12.754412""}, {""statut"": ""SUR_SITE"", ""timestamp"": ""2026-04-27T17:11:12.754412""}, {""statut"": ""EN_COURS"", ""timestamp"": ""2026-04-27T17:23:12.754412""}, {""statut"": ""PAUSE"", ""timestamp"": ""2026-04-27T19:23:12.754412""}, {""statut"": ""EN_COURS"", ""timestamp"": ""2026-04-27T20:23:12.754412""}, {""statut"": ""COMPLETE"", ""timestamp"": ""2026-04-28T00:16:12.754412""}]"
22,TKT-00022,25,INC-202512-0025,10,Sara LAHLOU,TECH-010,5,Tanger,MINEUR,FERME,2025-12-18T17:16:17.754412,2025-12-18T17:30:17.754412,2025-12-18T18:11:17.754412,85,14.0,3.2,COMPLETE,2025-12-18T18:14:17.754412,2025-12-18T18:21:17.754412,2025-12-18T19:46:17.754412,False,,,,"[""Manque d outillage specifique""]",ADMIN,"[{""statut"": ""ASSIGNE"", ""timestamp"": ""2025-12-18T17:16:17.754412""}, {""statut"": ""EN_ROUTE"", ""timestamp"": ""2025-12-18T17:30:17.754412""}, {""statut"": ""SUR_SITE"", ""timestamp"": ""2025-12-18T18:14:17.754412""}, {""statut"": ""EN_COURS"", ""timestamp"": ""2025-12-18T18:21:17.754412""}, {""statut"": ""COMPLETE"", ""timestamp"": ""2025-12-18T19:46:17.754412""}]"
23,TKT-00023,26,INC-202601-0026,10,Sara LAHLOU,TECH-010,5,Tanger,MAJEUR,RESOLU,2026-01-10T12:52:28.754412,2026-01-10T12:59:28.754412,2026-01-10T14:57:28.754412,149,25.44,4.0,COMPLETE,2026-01-10T13:34:28.754412,2026-01-10T13:48:28.754412,2026-01-10T16:17:28.754412,True,13:00,14:00,,"[""Coordination avec equipe reseau requise""]",ADMIN,"[{""statut"": ""ASSIGNE"", ""timestamp"": ""2026-01-10T12:52:28.754412""}, {""statut"": ""EN_ROUTE"", ""timestamp"": ""2026-01-10T12:59:28.754412""}, {""statut"": ""SUR_SITE"", ""timestamp"": ""2026-01-10T13:34:28.754412""}, {""statut"": ""EN_COURS"", ""timestamp"": ""2026-01-10T13:48:28.754412""}, {""statut"": ""PAUSE"", ""timestamp"": ""2026-01-10T15:48:28.754412""}, {""statut"": ""EN_COURS"", ""timestamp"": ""2026-01-10T16:48:28.754412""}, {""statut"": ""COMPLETE"", ""timestamp"": ""2026-01-10T16:17:28.754412""}]"
24,TKT-00024,27,INC-202601-0027,29,Reda DOUKKALI,TECH-029,9,Kenitra,MINEUR,EN_COURS,2026-01-01T07:40:50.754412,2026-01-01T07:42:50.754412,,,5.9,,EN_ROUTE,2026-01-01T08:00:50.754412,2026-01-01T08:10:50.754412,,False,,,,"[""Acces difficile (hauteur / espace confine)""]",TECHNICIEN,"[{""statut"": ""ASSIGNE"", ""timestamp"": ""2026-01-01T07:40:50.754412""}, {""statut"": ""EN_ROUTE"", ""timestamp"": ""2026-01-01T07:42:50.754412""}, {""statut"": ""SUR_SITE"", ""timestamp"": ""2026-01-01T08:00:50.754412""}, {""statut"": ""EN_COURS"", ""timestamp"": ""2026-01-01T08:10:50.754412""}]"
25,TKT-00025,28,INC-202601-0028,28,Kenza ELMANSOURI,TECH-028,9,Kenitra,CRITIQUE,EN_COURS,2026-01-02T13:32:33.754412,2026-01-02T13:42:33.754412,,,14.86,,PAUSE,2026-01-02T14:00:33.754412,2026-01-02T14:14:33.754412,,True,13:00,14:00,,[],TECHNICIEN,"[{""statut"": ""ASSIGNE"", ""timestamp"": ""2026-01-02T13:32:33.754412""}, {""statut"": ""EN_ROUTE"", ""timestamp"": ""2026-01-02T13:42:33.754412""}, {""statut"": ""SUR_SITE"", ""timestamp"": ""2026-01-02T14:00:33.754412""}, {""statut"": ""EN_COURS"", ""timestamp"": ""2026-01-02T14:14:33.754412""}, {""statut"": ""PAUSE"", ""timestamp"": ""2026-01-02T16:14:33.754412""}, {""statut"": ""EN_COURS"", ""timestamp"": ""2026-01-02T17:14:33.754412""}]"
26,TKT-00026,29,INC-202605-0029,7,Anas BERRADA,TECH-007,10,Tétouan,MAJEUR,EN_COURS,2026-05-02T22:53:03.754412,2026-05-02T22:58:03.754412,,,26.03,,EN_COURS,2026-05-02T23:16:03.754412,2026-05-02T23:23:03.754412,,True,13:00,14:00,,[],TECHNICIEN,"[{""statut"": ""ASSIGNE"", ""timestamp"": ""2026-05-02T22:53:03.754412""}, {""statut"": ""EN_ROUTE"", ""timestamp"": ""2026-05-02T22:58:03.754412""}, {""statut"": ""SUR_SITE"", ""timestamp"": ""2026-05-02T23:16:03.754412""}, {""statut"": ""EN_COURS"", ""timestamp"": ""2026-05-02T23:23:03.754412""}, {""statut"": ""PAUSE"", ""timestamp"": ""2026-05-03T01:23:03.754412""}, {""statut"": ""EN_COURS"", ""timestamp"": ""2026-05-03T02:23:03.754412""}]"
27,TKT-00027,30,INC-202603-0030,10,Sara LAHLOU,TECH-010,5,Tanger,MINEUR,FERME,2026-03-23T08:09:55.754412,2026-03-23T08:13:55.754412,2026-03-23T10:37:55.754412,157,15.01,4.3,COMPLETE,2026-03-23T08:47:55.754412,2026-03-23T09:00:55.754412,2026-03-23T11:37:55.754412,True,13:00,14:00,,"[""Zone a acces restreint""]",ADMIN,"[{""statut"": ""ASSIGNE"", ""timestamp"": ""2026-03-23T08:09:55.754412""}, {""statut"": ""EN_ROUTE"", ""timestamp"": ""2026-03-23T08:13:55.754412""}, {""statut"": ""SUR_SITE"", ""timestamp"": ""2026-03-23T08:47:55.754412""}, {""statut"": ""EN_COURS"", ""timestamp"": ""2026-03-23T09:00:55.754412""}, {""statut"": ""PAUSE"", ""timestamp"": ""2026-03-23T11:00:55.754412""}, {""statut"": ""EN_COURS"", ""timestamp"": ""2026-03-23T12:00:55.754412""}, {""statut"": ""COMPLETE"", ""timestamp"": ""2026-03-23T11:37:55.754412""}]"
28,TKT-00028,31,INC-202605-0031,21,Soufiane ZEMMOURI,TECH-021,3,Marrakech,MINEUR,FERME,2026-05-24T03:37:36.754412,2026-05-24T03:39:36.754412,2026-05-24T05:39:36.754412,132,8.61,3.8,COMPLETE,2026-05-24T03:50:36.754412,2026-05-24T03:58:36.754412,2026-05-24T06:10:36.754412,True,13:00,14:00,,[],TECHNICIEN,"[{""statut"": ""ASSIGNE"", ""timestamp"": ""2026-05-24T03:37:36.754412""}, {""statut"": ""EN_ROUTE"", ""timestamp"": ""2026-05-24T03:39:36.754412""}, {""statut"": ""SUR_SITE"", ""timestamp"": ""2026-05-24T03:50:36.754412""}, {""statut"": ""EN_COURS"", ""timestamp"": ""2026-05-24T03:58:36.754412""}, {""statut"": ""PAUSE"", ""timestamp"": ""2026-05-24T05:58:36.754412""}, {""statut"": ""EN_COURS"", ""timestamp"": ""2026-05-24T06:58:36.754412""}, {""statut"": ""COMPLETE"", ""timestamp"": ""2026-05-24T06:10:36.754412""}]"
29,TKT-00029,32,INC-202604-0032,8,Nadia FILALI,TECH-008,6,Agadir,MINEUR,RESOLU,2026-04-04T16:14:45.754412,2026-04-04T16:26:45.754412,2026-04-04T16:51:45.754412,60,23.37,4.6,COMPLETE,2026-04-04T17:07:45.754412,2026-04-04T17:20:45.754412,2026-04-04T18:20:45.754412,False,,,,"[""Acces difficile (hauteur / espace confine)"", ""Coordination avec equipe reseau requise""]",ADMIN,"[{""statut"": ""ASSIGNE"", ""timestamp"": ""2026-04-04T16:14:45.754412""}, {""statut"": ""EN_ROUTE"", ""timestamp"": ""2026-04-04T16:26:45.754412""}, {""statut"": ""SUR_SITE"", ""timestamp"": ""2026-04-04T17:07:45.754412""}, {""statut"": ""EN_COURS"", ""timestamp"": ""2026-04-04T17:20:45.754412""}, {""statut"": ""COMPLETE"", ""timestamp"": ""2026-04-04T18:20:45.754412""}]"
