id,code_incident,equipement_id,equipement_code,secteur_id,secteur_nom,region,latitude,longitude,type_incident,libelle,severite,statut,date_detection,date_resolution,duree_resolution_min,duree_estimee_min,description,priorite,ticket_id,technicien_assigne_id,technicien_assigne_nom
26,INC-202606-0026,51,EQ-04-0051,4,Fès,Fès-Meknès,34.093295,-5.073711,PANNE_COMPLETE,Panne totale équipement,CRITIQUE,OUVERT,2026-06-07T21:15:27.887556,,,224,Panne totale équipement sur BTS_5G_FÈS_051 — secteur Fès,1,,,
27,INC-202606-0027,39,EQ-10-0039,10,Tétouan,Tanger-Tétouan-Al Hoceima,35.614049,-5.575724,COUPURE_FIBRE,Coupure fibre optique,CRITIQUE,OUVERT,2026-06-09T10:59:28.887556,,,571,Coupure fibre optique sur BTS_5G_TÉTOUAN_039 — secteur Tétouan,1,,,
28,INC-202606-0028,33,EQ-09-0033,9,Kenitra,Rabat-Salé-Kénitra,34.47226,-6.388143,SURCHARGE,Surcharge trafic,MAJEUR,OUVERT,2026-06-11T18:35:28.887556,,,75,Surcharge trafic sur BTS_2G_KENITRA_033 — secteur Kenitra,2,,,
29,INC-202606-0029,1,EQ-02-0001,2,Rabat-Salé,Rabat-Salé-Kénitra,34.129707,-6.956514,MISE_A_JOUR,Echec mise à jour firmware,MINEUR,OUVERT,2026-06-13T00:27:21.887556,,,82,Echec mise à jour firmware sur BTS_2G_RABAT-SALÉ_001 — secteur Rabat-Salé,3,,,
30,INC-202606-0030,17,EQ-07-0017,7,Meknès,Fès-Meknès,33.936693,-5.569092,PANNE_ALIM,Panne alimentation,CRITIQUE,OUVERT,2026-06-14T06:08:40.887556,,,600,Panne alimentation sur OLT_MEKNÈS_017 — secteur Meknès,1,,,
31,INC-202606-0031,30,EQ-02-0030,2,Rabat-Salé,Rabat-Salé-Kénitra,33.977036,-6.913986,INTERFERENCE,Interférence signal,MINEUR,OUVERT,2026-06-08T16:00:43.887556,,,70,Interférence signal sur BTS_2G_RABAT-SALÉ_030 — secteur Rabat-Salé,3,,,
32,INC-202606-0032,111,EQ-08-0111,8,Oujda,Oriental,34.77667,-1.711996,PANNE_COMPLETE,Panne totale équipement,CRITIQUE,OUVERT,2026-06-13T02:04:36.887556,,,129,Panne totale équipement sur ROUTEUR_OUJDA_111 — secteur Oujda,1,,,
33,INC-202606-0033,59,EQ-06-0059,6,Agadir,Souss-Massa,30.399149,-9.379976,DEGRADATION,Dégradation performances,MAJEUR,OUVERT,2026-06-11T14:12:14.887556,,,207,Dégradation performances sur SWITCH_AGADIR_059 — secteur Agadir,2,,,
34,INC-202606-0034,55,EQ-08-0055,8,Oujda,Oriental,34.598948,-1.778361,PANNE_ALIM,Panne alimentation,CRITIQUE,OUVERT,2026-06-12T20:40:50.887556,,,388,Panne alimentation sur SWITCH_OUJDA_055 — secteur Oujda,1,,,
35,INC-202606-0035,15,EQ-07-0015,7,Meknès,Fès-Meknès,33.767068,-5.330584,PANNE_ALIM,Panne alimentation,CRITIQUE,OUVERT,2026-06-08T01:05:36.887556,,,406,Panne alimentation sur SWITCH_MEKNÈS_015 — secteur Meknès,1,,,
36,INC-202606-0036,22,EQ-10-0022,10,Tétouan,Tanger-Tétouan-Al Hoceima,35.391857,-5.374711,MISE_A_JOUR,Echec mise à jour firmware,MINEUR,OUVERT,2026-06-12T04:24:57.887556,,,71,Echec mise à jour firmware sur BTS_3G_TÉTOUAN_022 — secteur Tétouan,3,,,
37,INC-202606-0037,56,EQ-04-0056,4,Fès,Fès-Meknès,33.940741,-4.843677,DEGRADATION,Dégradation performances,MAJEUR,OUVERT,2026-06-10T17:53:22.887556,,,171,Dégradation performances sur OLT_FÈS_056 — secteur Fès,2,,,
38,INC-202606-0038,76,EQ-10-0076,10,Tétouan,Tanger-Tétouan-Al Hoceima,35.73919,-5.248763,PANNE_ALIM,Panne alimentation,CRITIQUE,OUVERT,2026-06-14T03:38:01.887556,,,280,Panne alimentation sur BTS_2G_TÉTOUAN_076 — secteur Tétouan,1,,,
39,INC-202606-0039,51,EQ-04-0051,4,Fès,Fès-Meknès,34.093295,-5.073711,SURCHARGE,Surcharge trafic,MAJEUR,OUVERT,2026-06-11T21:54:32.887556,,,101,Surcharge trafic sur BTS_5G_FÈS_051 — secteur Fès,2,,,
40,INC-202606-0040,43,EQ-02-0043,2,Rabat-Salé,Rabat-Salé-Kénitra,33.962128,-6.995768,ALARME_RESEAU,Alarme réseau détectée,MINEUR,OUVERT,2026-06-08T17:15:56.887556,,,95,Alarme réseau détectée sur BTS_5G_RABAT-SALÉ_043 — secteur Rabat-Salé,3,,,
41,INC-202606-0041,82,EQ-02-0082,2,Rabat-Salé,Rabat-Salé-Kénitra,33.804406,-6.823844,DEGRADATION,Dégradation performances,MAJEUR,OUVERT,2026-06-14T05:34:06.887556,,,190,Dégradation performances sur ANTENNE_RABAT-SALÉ_082 — secteur Rabat-Salé,2,,,
42,INC-202606-0042,25,EQ-08-0025,8,Oujda,Oriental,34.573144,-2.107785,INTERFERENCE,Interférence signal,MINEUR,OUVERT,2026-06-12T01:17:01.887556,,,38,Interférence signal sur BTS_3G_OUJDA_025 — secteur Oujda,3,,,
43,INC-202606-0043,31,EQ-09-0031,9,Kenitra,Rabat-Salé-Kénitra,34.09892,-6.722773,DEGRADATION,Dégradation performances,MAJEUR,OUVERT,2026-06-09T13:40:24.887556,,,125,Dégradation performances sur ANTENNE_KENITRA_031 — secteur Kenitra,2,,,
44,INC-202606-0044,26,EQ-01-0026,1,Grand Casablanca,Casablanca-Settat,33.666722,-7.788506,ALARME_RESEAU,Alarme réseau détectée,MINEUR,OUVERT,2026-06-09T15:32:42.887556,,,113,Alarme réseau détectée sur BTS_3G_GRAND_CASABLANCA_026 — secteur Grand Casablanca,3,,,
45,INC-202606-0045,10,EQ-05-0010,5,Tanger,Tanger-Tétouan-Al Hoceima,35.808658,-5.982136,ALARME_RESEAU,Alarme réseau détectée,MINEUR,OUVERT,2026-06-13T18:56:26.887556,,,89,Alarme réseau détectée sur BTS_3G_TANGER_010 — secteur Tanger,3,,,
46,INC-202606-0046,97,EQ-08-0097,8,Oujda,Oriental,34.599593,-2.032779,MISE_A_JOUR,Echec mise à jour firmware,MINEUR,OUVERT,2026-06-14T15:26:19.887556,,,142,Echec mise à jour firmware sur ROUTEUR_OUJDA_097 — secteur Oujda,3,,,
47,INC-202606-0047,82,EQ-02-0082,2,Rabat-Salé,Rabat-Salé-Kénitra,33.804406,-6.823844,INTERFERENCE,Interférence signal,MINEUR,OUVERT,2026-06-11T15:06:02.887556,,,39,Interférence signal sur ANTENNE_RABAT-SALÉ_082 — secteur Rabat-Salé,3,,,
48,INC-202606-0048,57,EQ-09-0057,9,Kenitra,Rabat-Salé-Kénitra,34.341864,-6.425398,DEGRADATION,Dégradation performances,MAJEUR,OUVERT,2026-06-13T11:36:06.887556,,,173,Dégradation performances sur OLT_KENITRA_057 — secteur Kenitra,2,,,
49,INC-202606-0049,81,EQ-08-0081,8,Oujda,Oriental,34.613502,-1.740391,SURCHARGE,Surcharge trafic,MAJEUR,OUVERT,2026-06-11T03:01:23.887556,,,59,Surcharge trafic sur SWITCH_OUJDA_081 — secteur Oujda,2,,,
50,INC-202606-0050,46,EQ-10-0046,10,Tétouan,Tanger-Tétouan-Al Hoceima,35.676524,-5.501915,DEGRADATION,Dégradation performances,MAJEUR,OUVERT,2026-06-11T13:25:53.887556,,,178,Dégradation performances sur BTS_5G_TÉTOUAN_046 — secteur Tétouan,2,,,
51,INC-202606-0051,58,EQ-05-0058,5,Tanger,Tanger-Tétouan-Al Hoceima,35.795802,-5.616184,PANNE_COMPLETE,Panne totale équipement,CRITIQUE,OUVERT,2026-06-08T11:35:20.887556,,,308,Panne totale équipement sur BTS_4G_TANGER_058 — secteur Tanger,1,,,
52,INC-202606-0052,107,EQ-03-0107,3,Marrakech,Marrakech-Safi,31.588292,-7.895798,SURCHARGE,Surcharge trafic,MAJEUR,OUVERT,2026-06-08T17:22:05.887556,,,68,Surcharge trafic sur BTS_2G_MARRAKECH_107 — secteur Marrakech,2,,,
53,INC-202606-0053,79,EQ-08-0079,8,Oujda,Oriental,34.903241,-1.896029,PANNE_ALIM,Panne alimentation,CRITIQUE,OUVERT,2026-06-13T09:47:35.887556,,,537,Panne alimentation sur BTS_4G_OUJDA_079 — secteur Oujda,1,,,
54,INC-202606-0054,71,EQ-08-0071,8,Oujda,Oriental,34.835605,-1.889836,PANNE_COMPLETE,Panne totale équipement,CRITIQUE,OUVERT,2026-06-13T06:00:46.887556,,,412,Panne totale équipement sur OLT_OUJDA_071 — secteur Oujda,1,,,
55,INC-202606-0055,84,EQ-08-0084,8,Oujda,Oriental,34.715515,-2.038443,COUPURE_FIBRE,Coupure fibre optique,CRITIQUE,OUVERT,2026-06-11T16:40:12.887556,,,489,Coupure fibre optique sur BTS_3G_OUJDA_084 — secteur Oujda,1,,,
56,INC-202606-0056,61,EQ-02-0061,2,Rabat-Salé,Rabat-Salé-Kénitra,34.076375,-6.768002,ALARME_RESEAU,Alarme réseau détectée,MINEUR,OUVERT,2026-06-08T13:02:26.887556,,,87,Alarme réseau détectée sur SWITCH_RABAT-SALÉ_061 — secteur Rabat-Salé,3,,,
57,INC-202606-0057,14,EQ-03-0014,3,Marrakech,Marrakech-Safi,31.739855,-7.963543,INTERFERENCE,Interférence signal,MINEUR,OUVERT,2026-06-08T19:34:52.887556,,,84,Interférence signal sur BTS_5G_MARRAKECH_014 — secteur Marrakech,3,,,
58,INC-202606-0058,83,EQ-01-0083,1,Grand Casablanca,Casablanca-Settat,33.775628,-7.725223,ALARME_RESEAU,Alarme réseau détectée,MINEUR,OUVERT,2026-06-08T06:25:10.887556,,,61,Alarme réseau détectée sur BTS_2G_GRAND_CASABLANCA_083 — secteur Grand Casablanca,3,,,
59,INC-202606-0059,91,EQ-04-0091,4,Fès,Fès-Meknès,33.918518,-5.029961,MISE_A_JOUR,Echec mise à jour firmware,MINEUR,OUVERT,2026-06-13T03:00:34.887556,,,127,Echec mise à jour firmware sur BTS_3G_FÈS_091 — secteur Fès,3,,,
60,INC-202606-0060,67,EQ-04-0067,4,Fès,Fès-Meknès,33.803877,-5.122736,ALARME_RESEAU,Alarme réseau détectée,MINEUR,OUVERT,2026-06-12T05:00:41.887556,,,77,Alarme réseau détectée sur BTS_4G_FÈS_067 — secteur Fès,3,,,
61,INC-202606-0061,118,EQ-07-0118,7,Meknès,Fès-Meknès,33.964518,-5.535514,SURCHARGE,Surcharge trafic,MAJEUR,OUVERT,2026-06-12T11:51:42.887556,,,149,Surcharge trafic sur BTS_2G_MEKNÈS_118 — secteur Meknès,2,,,
62,INC-202606-0062,100,EQ-01-0100,1,Grand Casablanca,Casablanca-Settat,33.662027,-7.758143,INTERFERENCE,Interférence signal,MINEUR,OUVERT,2026-06-08T10:16:16.887556,,,62,Interférence signal sur ROUTEUR_GRAND_CASABLANCA_100 — secteur Grand Casablanca,3,,,
63,INC-202606-0063,9,EQ-07-0009,7,Meknès,Fès-Meknès,33.872514,-5.4042,INTERFERENCE,Interférence signal,MINEUR,OUVERT,2026-06-08T22:32:43.887556,,,69,Interférence signal sur ROUTEUR_MEKNÈS_009 — secteur Meknès,3,,,
64,INC-202606-0064,37,EQ-01-0037,1,Grand Casablanca,Casablanca-Settat,33.611018,-7.588516,SURCHARGE,Surcharge trafic,MAJEUR,OUVERT,2026-06-09T14:49:04.887556,,,130,Surcharge trafic sur BTS_2G_GRAND_CASABLANCA_037 — secteur Grand Casablanca,2,,,
65,INC-202606-0065,11,EQ-07-0011,7,Meknès,Fès-Meknès,34.114006,-5.491637,ALARME_RESEAU,Alarme réseau détectée,MINEUR,OUVERT,2026-06-12T00:54:40.887556,,,69,Alarme réseau détectée sur ROUTEUR_MEKNÈS_011 — secteur Meknès,3,,,
66,INC-202606-0066,84,EQ-08-0084,8,Oujda,Oriental,34.715515,-2.038443,PANNE_ALIM,Panne alimentation,CRITIQUE,OUVERT,2026-06-09T08:34:42.887556,,,544,Panne alimentation sur BTS_3G_OUJDA_084 — secteur Oujda,1,,,
67,INC-202606-0067,91,EQ-04-0091,4,Fès,Fès-Meknès,33.918518,-5.029961,DEGRADATION,Dégradation performances,MAJEUR,OUVERT,2026-06-11T13:11:27.887556,,,203,Dégradation performances sur BTS_3G_FÈS_091 — secteur Fès,2,,,
68,INC-202606-0068,49,EQ-02-0049,2,Rabat-Salé,Rabat-Salé-Kénitra,34.221373,-6.755555,INTERFERENCE,Interférence signal,MINEUR,OUVERT,2026-06-09T08:14:28.887556,,,87,Interférence signal sur BTS_3G_RABAT-SALÉ_049 — secteur Rabat-Salé,3,,,
69,INC-202606-0069,12,EQ-01-0012,1,Grand Casablanca,Casablanca-Settat,33.718056,-7.452392,PANNE_ALIM,Panne alimentation,CRITIQUE,OUVERT,2026-06-13T23:07:35.887556,,,425,Panne alimentation sur BTS_5G_GRAND_CASABLANCA_012 — secteur Grand Casablanca,1,,,
70,INC-202606-0070,3,EQ-10-0003,10,Tétouan,Tanger-Tétouan-Al Hoceima,35.606088,-5.271094,INTERFERENCE,Interférence signal,MINEUR,OUVERT,2026-06-11T12:58:56.887556,,,43,Interférence signal sur BTS_2G_TÉTOUAN_003 — secteur Tétouan,3,,,
71,INC-202606-0071,28,EQ-10-0028,10,Tétouan,Tanger-Tétouan-Al Hoceima,35.462733,-5.380574,INTERFERENCE,Interférence signal,MINEUR,OUVERT,2026-06-13T16:39:19.887556,,,44,Interférence signal sur ANTENNE_TÉTOUAN_028 — secteur Tétouan,3,,,
72,INC-202606-0072,29,EQ-07-0029,7,Meknès,Fès-Meknès,33.859076,-5.569554,ALARME_RESEAU,Alarme réseau détectée,MINEUR,OUVERT,2026-06-09T16:08:58.887556,,,39,Alarme réseau détectée sur SWITCH_MEKNÈS_029 — secteur Meknès,3,,,
73,INC-202606-0073,38,EQ-09-0038,9,Kenitra,Rabat-Salé-Kénitra,34.419262,-6.77456,DEGRADATION,Dégradation performances,MAJEUR,OUVERT,2026-06-13T22:53:38.887556,,,198,Dégradation performances sur BTS_3G_KENITRA_038 — secteur Kenitra,2,,,
74,INC-202606-0074,107,EQ-03-0107,3,Marrakech,Marrakech-Safi,31.588292,-7.895798,PANNE_COMPLETE,Panne totale équipement,CRITIQUE,OUVERT,2026-06-11T21:06:30.887556,,,436,Panne totale équipement sur BTS_2G_MARRAKECH_107 — secteur Marrakech,1,,,
75,INC-202606-0075,17,EQ-07-0017,7,Meknès,Fès-Meknès,33.936693,-5.569092,PANNE_ALIM,Panne alimentation,CRITIQUE,OUVERT,2026-06-09T15:56:52.887556,,,323,Panne alimentation sur OLT_MEKNÈS_017 — secteur Meknès,1,,,
76,INC-202606-0076,24,EQ-04-0024,4,Fès,Fès-Meknès,33.972601,-4.930464,ALARME_RESEAU,Alarme réseau détectée,MINEUR,OUVERT,2026-06-13T02:30:00.887556,,,35,Alarme réseau détectée sur ROUTEUR_FÈS_024 — secteur Fès,3,,,
77,INC-202606-0077,53,EQ-06-0053,6,Agadir,Souss-Massa,30.563942,-9.434107,INTERFERENCE,Interférence signal,MINEUR,OUVERT,2026-06-10T16:12:15.887556,,,76,Interférence signal sur OLT_AGADIR_053 — secteur Agadir,3,,,
78,INC-202606-0078,79,EQ-08-0079,8,Oujda,Oriental,34.903241,-1.896029,SURCHARGE,Surcharge trafic,MAJEUR,OUVERT,2026-06-13T05:46:42.887556,,,104,Surcharge trafic sur BTS_4G_OUJDA_079 — secteur Oujda,2,,,
79,INC-202606-0079,69,EQ-01-0069,1,Grand Casablanca,Casablanca-Settat,33.698515,-7.716448,COUPURE_FIBRE,Coupure fibre optique,CRITIQUE,OUVERT,2026-06-11T13:09:27.887556,,,594,Coupure fibre optique sur BTS_3G_GRAND_CASABLANCA_069 — secteur Grand Casablanca,1,,,
80,INC-202606-0080,101,EQ-01-0101,1,Grand Casablanca,Casablanca-Settat,33.559315,-7.616616,MISE_A_JOUR,Echec mise à jour firmware,MINEUR,OUVERT,2026-06-10T03:31:47.887556,,,107,Echec mise à jour firmware sur ROUTEUR_GRAND_CASABLANCA_101 — secteur Grand Casablanca,3,,,
81,INC-202606-0081,87,EQ-05-0087,5,Tanger,Tanger-Tétouan-Al Hoceima,35.892936,-5.804301,MISE_A_JOUR,Echec mise à jour firmware,MINEUR,OUVERT,2026-06-13T09:29:33.887556,,,158,Echec mise à jour firmware sur BTS_3G_TANGER_087 — secteur Tanger,3,,,
82,INC-202606-0082,37,EQ-01-0037,1,Grand Casablanca,Casablanca-Settat,33.611018,-7.588516,PANNE_ALIM,Panne alimentation,CRITIQUE,OUVERT,2026-06-13T21:30:02.887556,,,510,Panne alimentation sur BTS_2G_GRAND_CASABLANCA_037 — secteur Grand Casablanca,1,,,
83,INC-202606-0083,54,EQ-02-0054,2,Rabat-Salé,Rabat-Salé-Kénitra,34.188543,-6.680072,ALARME_RESEAU,Alarme réseau détectée,MINEUR,OUVERT,2026-06-10T05:11:05.887556,,,107,Alarme réseau détectée sur OLT_RABAT-SALÉ_054 — secteur Rabat-Salé,3,,,
84,INC-202606-0084,18,EQ-02-0018,2,Rabat-Salé,Rabat-Salé-Kénitra,34.14189,-6.913593,SURCHARGE,Surcharge trafic,MAJEUR,OUVERT,2026-06-08T10:13:01.887556,,,168,Surcharge trafic sur ROUTEUR_RABAT-SALÉ_018 — secteur Rabat-Salé,2,,,
85,INC-202606-0085,112,EQ-10-0112,10,Tétouan,Tanger-Tétouan-Al Hoceima,35.753916,-5.262754,INTERFERENCE,Interférence signal,MINEUR,OUVERT,2026-06-14T12:32:25.887556,,,33,Interférence signal sur BTS_2G_TÉTOUAN_112 — secteur Tétouan,3,,,
86,INC-202606-0086,92,EQ-07-0092,7,Meknès,Fès-Meknès,33.681203,-5.396613,DEGRADATION,Dégradation performances,MAJEUR,OUVERT,2026-06-11T06:02:57.887556,,,81,Dégradation performances sur SWITCH_MEKNÈS_092 — secteur Meknès,2,,,
87,INC-202606-0087,98,EQ-09-0098,9,Kenitra,Rabat-Salé-Kénitra,34.122054,-6.47272,ALARME_RESEAU,Alarme réseau détectée,MINEUR,OUVERT,2026-06-11T02:28:29.887556,,,87,Alarme réseau détectée sur BTS_4G_KENITRA_098 — secteur Kenitra,3,,,
88,INC-202606-0088,116,EQ-02-0116,2,Rabat-Salé,Rabat-Salé-Kénitra,33.944235,-6.75436,ALARME_RESEAU,Alarme réseau détectée,MINEUR,OUVERT,2026-06-13T02:26:30.887556,,,41,Alarme réseau détectée sur BTS_4G_RABAT-SALÉ_116 — secteur Rabat-Salé,3,,,
89,INC-202606-0089,117,EQ-09-0117,9,Kenitra,Rabat-Salé-Kénitra,34.240651,-6.663751,COUPURE_FIBRE,Coupure fibre optique,CRITIQUE,OUVERT,2026-06-13T06:25:08.887556,,,358,Coupure fibre optique sur BTS_2G_KENITRA_117 — secteur Kenitra,1,,,
90,INC-202606-0090,120,EQ-05-0120,5,Tanger,Tanger-Tétouan-Al Hoceima,35.931053,-5.840887,PANNE_COMPLETE,Panne totale équipement,CRITIQUE,OUVERT,2026-06-12T19:51:57.887556,,,147,Panne totale équipement sur ANTENNE_TANGER_120 — secteur Tanger,1,,,
91,INC-202606-0091,51,EQ-04-0051,4,Fès,Fès-Meknès,34.093295,-5.073711,INTERFERENCE,Interférence signal,MINEUR,OUVERT,2026-06-10T15:41:38.887556,,,69,Interférence signal sur BTS_5G_FÈS_051 — secteur Fès,3,,,
92,INC-202606-0092,11,EQ-07-0011,7,Meknès,Fès-Meknès,34.114006,-5.491637,INTERFERENCE,Interférence signal,MINEUR,OUVERT,2026-06-10T12:25:12.887556,,,23,Interférence signal sur ROUTEUR_MEKNÈS_011 — secteur Meknès,3,,,
93,INC-202606-0093,41,EQ-07-0041,7,Meknès,Fès-Meknès,33.970838,-5.644791,DEGRADATION,Dégradation performances,MAJEUR,OUVERT,2026-06-11T20:40:44.887556,,,97,Dégradation performances sur BTS_4G_MEKNÈS_041 — secteur Meknès,2,,,
94,INC-202606-0094,18,EQ-02-0018,2,Rabat-Salé,Rabat-Salé-Kénitra,34.14189,-6.913593,PANNE_COMPLETE,Panne totale équipement,CRITIQUE,OUVERT,2026-06-11T06:34:41.887556,,,361,Panne totale équipement sur ROUTEUR_RABAT-SALÉ_018 — secteur Rabat-Salé,1,,,
